,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
2,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],SHAUN,2018,75,192.452,105.943,10,0.447,0.219,0.737,0,0.269,0.747
1,The Village,The Village,Wrabel,2017,66,230.293,121.94,5,0.286,0.128,0.55,0,0.534,0.363
0,Hurt Somebody (With Julia Michaels),Hurt Somebody,Noah Kahan,2018,63,168.64000000000001,114.987,6,0.473,0.262,0.633,0,0.336,0.559
3,When the Children Cry,Pride,White Lion,1987,61,258.6,130.258,4,0.345,0.071,0.493,0,0.68,0.242
